URL,GameDate,HomeRecord,AwayRecord,HomeTeam,AwayTeam,HomeScore,AwayScore,WinningTeam,LosingTeam,Belong_Team,Player,Minute,FG,FGA,FG%,FG3,FG3A,FG3%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLUMUS,Series
202404020SAC.html,2024-04-02,44-31,47-28,SAC,LAC,109,95,SAC,LAC,LAC,Terance Mann,26.6,3,5,.600,0,1,.000,1,2,.500,1,0,1,2,0,0,2,2,7,-3,2024LACSAC
202404020SAC.html,2024-04-02,44-31,47-28,SAC,LAC,109,95,SAC,LAC,LAC,Russell Westbrook,24.0,7,14,.500,2,3,.667,4,4,1.000,0,2,2,2,0,0,4,5,20,-14,2024LACSAC
202404020SAC.html,2024-04-02,44-31,47-28,SAC,LAC,109,95,SAC,LAC,LAC,Amir Coffey,23.5,1,6,.167,1,4,.250,0,0,,1,1,2,1,1,0,1,1,3,-18,2024LACSAC
202404020SAC.html,2024-04-02,44-31,47-28,SAC,LAC,109,95,SAC,LAC,LAC,Brandon Boston Jr.,21.4,3,6,.500,1,3,.333,2,3,.667,0,4,4,0,0,0,0,5,9,-11,2024LACSAC
202404020SAC.html,2024-04-02,44-31,47-28,SAC,LAC,109,95,SAC,LAC,LAC,Daniel Theis,17.8,1,3,.333,1,1,1.000,0,0,,1,4,5,0,0,0,0,3,3,-4,2024LACSAC
202404020SAC.html,2024-04-02,44-31,47-28,SAC,LAC,109,95,SAC,LAC,LAC,Bones Hyland,7.6,1,2,.500,0,1,.000,0,0,,0,2,2,1,0,0,0,0,2,+7,2024LACSAC
202404020SAC.html,2024-04-02,44-31,47-28,SAC,LAC,109,95,SAC,LAC,LAC,Kobe Brown,1.6,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2,2024LACSAC
202404020SAC.html,2024-04-02,44-31,47-28,SAC,LAC,109,95,SAC,LAC,SAC,Keegan Murray,37.9,8,18,.444,2,7,.286,1,1,1.000,2,3,5,2,1,1,2,1,19,+3,2024LACSAC
202404020SAC.html,2024-04-02,44-31,47-28,SAC,LAC,109,95,SAC,LAC,SAC,Domantas Sabonis,34.9,8,17,.471,0,3,.000,6,10,.600,7,13,20,9,2,0,4,1,22,-2,2024LACSAC
202404020SAC.html,2024-04-02,44-31,47-28,SAC,LAC,109,95,SAC,LAC,SAC,De'Aaron Fox,33.8,6,20,.300,1,7,.143,7,7,1.000,0,3,3,7,1,1,0,2,20,+13,2024LACSAC
202404020SAC.html,2024-04-02,44-31,47-28,SAC,LAC,109,95,SAC,LAC,SAC,Harrison Barnes,24.6,2,7,.286,2,5,.400,0,0,,1,1,2,1,1,0,0,1,6,-1,2024LACSAC
202404020SAC.html,2024-04-02,44-31,47-28,SAC,LAC,109,95,SAC,LAC,SAC,Keon Ellis,21.8,0,1,.000,0,1,.000,3,4,.750,2,5,7,1,1,0,0,6,3,+11,2024LACSAC
202404020SAC.html,2024-04-02,44-31,47-28,SAC,LAC,109,95,SAC,LAC,SAC,Trey Lyles,26.1,6,11,.545,3,8,.375,0,1,.000,2,2,4,5,1,1,1,1,15,+14,2024LACSAC
202404020SAC.html,2024-04-02,44-31,47-28,SAC,LAC,109,95,SAC,LAC,SAC,Davion Mitchell,25.4,5,10,.500,4,7,.571,0,0,,2,2,4,3,0,0,0,0,14,+16,2024LACSAC
202404020SAC.html,2024-04-02,44-31,47-28,SAC,LAC,109,95,SAC,LAC,SAC,Alex Len,12.0,2,2,1.000,0,0,,0,0,,2,5,7,1,1,3,2,3,4,+18,2024LACSAC
202404020SAC.html,2024-04-02,44-31,47-28,SAC,LAC,109,95,SAC,LAC,SAC,Sasha Vezenkov,9.6,0,1,.000,0,1,.000,2,2,1.000,0,1,1,0,1,0,0,1,2,+12,2024LACSAC
202404020SAC.html,2024-04-02,44-31,47-28,SAC,LAC,109,95,SAC,LAC,SAC,Chris Duarte,8.5,1,2,.500,0,1,.000,0,0,,1,0,1,0,1,0,1,0,2,-6,2024LACSAC
202404020SAC.html,2024-04-02,44-31,47-28,SAC,LAC,109,95,SAC,LAC,SAC,Kessler Edwards,1.6,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,2,0,-2,2024LACSAC
202404020SAC.html,2024-04-02,44-31,47-28,SAC,LAC,109,95,SAC,LAC,SAC,Mason Jones,1.6,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-2,2024LACSAC
202404020SAC.html,2024-04-02,44-31,47-28,SAC,LAC,109,95,SAC,LAC,SAC,Colby Jones,1.2,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,0,2,-2,2024LACSAC
202404020SAC.html,2024-04-02,44-31,47-28,SAC,LAC,109,95,SAC,LAC,SAC,Jalen Slawson,1.2,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,2024LACSAC
